state,pop_2011,pop_2026,pop_2036,seats_now,tfr,female_lit,nsdp_pc
Uttar Pradesh,199812,242859,259810,80,2.4,57.2,42
Maharashtra,112374,129308,137150,48,1.7,75.5,150
Bihar,104099,132265,149455,40,3,49.6,31
West Bengal,91276,100522,103020,42,1.6,70.5,85
Madhya Pradesh,72627,89673,98242,29,2,59.2,62
Tamil Nadu,72147,77546,78067,39,1.8,73.4,140
Rajasthan,68548,83642,90955,25,2,52.1,78
Karnataka,61095,68962,71948,28,1.7,68.1,145
Gujarat,60440,74086,81711,26,1.9,69.7,150
Andhra Pradesh,49577,53709,54261,25,1.7,59.7,125
Odisha,41974,44677,45027,21,1.8,64,73
Telangana,35004,36462,37725,17,1.8,57.9,155
Kerala,33406,36207,36949,20,1.8,91.9,148
Jharkhand,32988,40958,45382,14,2.3,55.4,62
Assam,31206,36717,39539,14,1.9,66.3,66
Punjab,27743,31318,32658,13,1.6,70.7,110
Chhattisgarh,25545,31211,34240,11,1.8,60.2,82
Haryana,25351,31299,34469,10,1.9,65.9,145
Delhi,16788,22540,26591,7,1.6,80.8,230
Jammu & Kashmir,12541,13600,14792,5,1.4,56.4,78
Uttarakhand,10086,11993,12900,5,1.9,70,135
Himachal Pradesh,6865,7589,7829,4,1.7,75.9,125
Tripura,3674,4081,4198,2,1.7,82.7,75
Meghalaya,2967,3590,3950,2,2.9,72.9,70
Manipur,2856,3225,3380,2,2.2,72.4,58
Goa,1459,1610,1660,2,1.3,81.8,230
Nagaland,1979,2153,2206,1,1.7,76.1,90
Arunachal Pradesh,1384,1612,1721,2,1.8,57.7,110
Mizoram,1097,1268,1356,1,1.9,89.3,95
Sikkim,611,690,720,1,1.1,75.6,250
Ladakh,274,300,320,1,1.3,63,120
Chandigarh,1055,1267,1365,1,1.4,81.4,200
Puducherry,1248,1400,1480,1,1.5,80.7,180
Andaman & Nicobar,381,410,425,1,1.5,81.8,130
DNH & DD,586,750,820,2,1.8,76,200
Lakshadweep,64,70,72,1,1.4,88,110
