state,scenario,webster,jefferson,hh,hamilton,seats_now,pop_2011,pop_2026,pop_2036,tfr,female_lit,nsdp_pc
Uttar Pradesh,543 by 2026 pop,91,93,91,88,80,199812,242859,259810,2.4,57.2,42
Maharashtra,543 by 2026 pop,49,49,49,47,48,112374,129308,137150,1.7,75.5,150
Bihar,543 by 2026 pop,50,51,50,48,40,104099,132265,149455,3,49.6,31
West Bengal,543 by 2026 pop,38,38,38,37,42,91276,100522,103020,1.6,70.5,85
Madhya Pradesh,543 by 2026 pop,34,34,34,33,29,72627,89673,98242,2,59.2,62
Tamil Nadu,543 by 2026 pop,29,29,29,29,39,72147,77546,78067,1.8,73.4,140
Rajasthan,543 by 2026 pop,32,32,31,31,25,68548,83642,90955,2,52.1,78
Karnataka,543 by 2026 pop,26,26,26,26,28,61095,68962,71948,1.7,68.1,145
Gujarat,543 by 2026 pop,28,28,28,28,26,60440,74086,81711,1.9,69.7,150
Andhra Pradesh,543 by 2026 pop,20,20,20,20,25,49577,53709,54261,1.7,59.7,125
Odisha,543 by 2026 pop,17,17,17,17,21,41974,44677,45027,1.8,64,73
Telangana,543 by 2026 pop,14,14,14,14,17,35004,36462,37725,1.8,57.9,155
Kerala,543 by 2026 pop,14,14,14,14,20,33406,36207,36949,1.8,91.9,148
Jharkhand,543 by 2026 pop,15,15,15,16,14,32988,40958,45382,2.3,55.4,62
Assam,543 by 2026 pop,14,14,14,14,14,31206,36717,39539,1.9,66.3,66
Punjab,543 by 2026 pop,12,12,12,12,13,27743,31318,32658,1.6,70.7,110
Chhattisgarh,543 by 2026 pop,12,12,12,12,11,25545,31211,34240,1.8,60.2,82
Haryana,543 by 2026 pop,12,12,12,12,10,25351,31299,34469,1.9,65.9,145
Delhi,543 by 2026 pop,8,8,9,9,7,16788,22540,26591,1.6,80.8,230
Jammu & Kashmir,543 by 2026 pop,5,5,5,6,5,12541,13600,14792,1.4,56.4,78
Uttarakhand,543 by 2026 pop,5,4,5,5,5,10086,11993,12900,1.9,70,135
Himachal Pradesh,543 by 2026 pop,3,2,3,4,4,6865,7589,7829,1.7,75.9,125
Tripura,543 by 2026 pop,2,1,2,2,2,3674,4081,4198,1.7,82.7,75
Meghalaya,543 by 2026 pop,1,1,1,2,2,2967,3590,3950,2.9,72.9,70
Manipur,543 by 2026 pop,1,1,1,2,2,2856,3225,3380,2.2,72.4,58
Goa,543 by 2026 pop,1,1,1,2,2,1459,1610,1660,1.3,81.8,230
Nagaland,543 by 2026 pop,1,1,1,2,1,1979,2153,2206,1.7,76.1,90
Arunachal Pradesh,543 by 2026 pop,1,1,1,2,2,1384,1612,1721,1.8,57.7,110
Mizoram,543 by 2026 pop,1,1,1,1,1,1097,1268,1356,1.9,89.3,95
Sikkim,543 by 2026 pop,1,1,1,1,1,611,690,720,1.1,75.6,250
Ladakh,543 by 2026 pop,1,1,1,1,1,274,300,320,1.3,63,120
Chandigarh,543 by 2026 pop,1,1,1,1,1,1055,1267,1365,1.4,81.4,200
Puducherry,543 by 2026 pop,1,1,1,2,1,1248,1400,1480,1.5,80.7,180
Andaman & Nicobar,543 by 2026 pop,1,1,1,1,1,381,410,425,1.5,81.8,130
DNH & DD,543 by 2026 pop,1,1,1,1,2,586,750,820,1.8,76,200
Lakshadweep,543 by 2026 pop,1,1,1,1,1,64,70,72,1.4,88,110
Uttar Pradesh,543 by 2036 pop,92,93,92,88,80,199812,242859,259810,2.4,57.2,42
Maharashtra,543 by 2036 pop,49,49,49,47,48,112374,129308,137150,1.7,75.5,150
Bihar,543 by 2036 pop,53,54,53,51,40,104099,132265,149455,3,49.6,31
West Bengal,543 by 2036 pop,37,37,36,35,42,91276,100522,103020,1.6,70.5,85
Madhya Pradesh,543 by 2036 pop,35,35,35,34,29,72627,89673,98242,2,59.2,62
Tamil Nadu,543 by 2036 pop,28,28,28,27,39,72147,77546,78067,1.8,73.4,140
Rajasthan,543 by 2036 pop,32,32,32,31,25,68548,83642,90955,2,52.1,78
Karnataka,543 by 2036 pop,25,26,25,25,28,61095,68962,71948,1.7,68.1,145
Gujarat,543 by 2036 pop,29,29,29,28,26,60440,74086,81711,1.9,69.7,150
Andhra Pradesh,543 by 2036 pop,19,19,19,19,25,49577,53709,54261,1.7,59.7,125
Odisha,543 by 2036 pop,16,16,16,16,21,41974,44677,45027,1.8,64,73
Telangana,543 by 2036 pop,13,13,13,14,17,35004,36462,37725,1.8,57.9,155
Kerala,543 by 2036 pop,13,13,13,13,20,33406,36207,36949,1.8,91.9,148
Jharkhand,543 by 2036 pop,16,16,16,16,14,32988,40958,45382,2.3,55.4,62
Assam,543 by 2036 pop,14,14,14,14,14,31206,36717,39539,1.9,66.3,66
Punjab,543 by 2036 pop,12,11,12,12,13,27743,31318,32658,1.6,70.7,110
Chhattisgarh,543 by 2036 pop,12,12,12,12,11,25545,31211,34240,1.8,60.2,82
Haryana,543 by 2036 pop,12,12,12,13,10,25351,31299,34469,1.9,65.9,145
Delhi,543 by 2036 pop,9,9,9,10,7,16788,22540,26591,1.6,80.8,230
Jammu & Kashmir,543 by 2036 pop,5,5,5,6,5,12541,13600,14792,1.4,56.4,78
Uttarakhand,543 by 2036 pop,5,4,5,5,5,10086,11993,12900,1.9,70,135
Himachal Pradesh,543 by 2036 pop,3,2,3,4,4,6865,7589,7829,1.7,75.9,125
Tripura,543 by 2036 pop,1,1,2,2,2,3674,4081,4198,1.7,82.7,75
Meghalaya,543 by 2036 pop,1,1,1,2,2,2967,3590,3950,2.9,72.9,70
Manipur,543 by 2036 pop,1,1,1,2,2,2856,3225,3380,2.2,72.4,58
Goa,543 by 2036 pop,1,1,1,2,2,1459,1610,1660,1.3,81.8,230
Nagaland,543 by 2036 pop,1,1,1,2,1,1979,2153,2206,1.7,76.1,90
Arunachal Pradesh,543 by 2036 pop,1,1,1,2,2,1384,1612,1721,1.8,57.7,110
Mizoram,543 by 2036 pop,1,1,1,2,1,1097,1268,1356,1.9,89.3,95
Sikkim,543 by 2036 pop,1,1,1,1,1,611,690,720,1.1,75.6,250
Ladakh,543 by 2036 pop,1,1,1,1,1,274,300,320,1.3,63,120
Chandigarh,543 by 2036 pop,1,1,1,2,1,1055,1267,1365,1.4,81.4,200
Puducherry,543 by 2036 pop,1,1,1,2,1,1248,1400,1480,1.5,80.7,180
Andaman & Nicobar,543 by 2036 pop,1,1,1,1,1,381,410,425,1.5,81.8,130
DNH & DD,543 by 2036 pop,1,1,1,1,2,586,750,820,1.8,76,200
Lakshadweep,543 by 2036 pop,1,1,1,1,1,64,70,72,1.4,88,110
Uttar Pradesh,848 by 2026 pop,144,146,144,140,80,199812,242859,259810,2.4,57.2,42
Maharashtra,848 by 2026 pop,77,78,77,75,48,112374,129308,137150,1.7,75.5,150
Bihar,848 by 2026 pop,78,79,78,77,40,104099,132265,149455,3,49.6,31
West Bengal,848 by 2026 pop,60,60,60,59,42,91276,100522,103020,1.6,70.5,85
Madhya Pradesh,848 by 2026 pop,53,54,53,52,29,72627,89673,98242,2,59.2,62
Tamil Nadu,848 by 2026 pop,46,46,46,45,39,72147,77546,78067,1.8,73.4,140
Rajasthan,848 by 2026 pop,50,50,50,49,25,68548,83642,90955,2,52.1,78
Karnataka,848 by 2026 pop,41,41,41,40,28,61095,68962,71948,1.7,68.1,145
Gujarat,848 by 2026 pop,44,44,44,43,26,60440,74086,81711,1.9,69.7,150
Andhra Pradesh,848 by 2026 pop,32,32,32,32,25,49577,53709,54261,1.7,59.7,125
Odisha,848 by 2026 pop,27,27,27,27,21,41974,44677,45027,1.8,64,73
Telangana,848 by 2026 pop,22,22,22,22,17,35004,36462,37725,1.8,57.9,155
Kerala,848 by 2026 pop,21,21,21,22,20,33406,36207,36949,1.8,91.9,148
Jharkhand,848 by 2026 pop,24,24,24,24,14,32988,40958,45382,2.3,55.4,62
Assam,848 by 2026 pop,22,22,22,22,14,31206,36717,39539,1.9,66.3,66
Punjab,848 by 2026 pop,19,18,19,19,13,27743,31318,32658,1.6,70.7,110
Chhattisgarh,848 by 2026 pop,19,18,19,19,11,25545,31211,34240,1.8,60.2,82
Haryana,848 by 2026 pop,19,18,19,19,10,25351,31299,34469,1.9,65.9,145
Delhi,848 by 2026 pop,13,13,13,14,7,16788,22540,26591,1.6,80.8,230
Jammu & Kashmir,848 by 2026 pop,8,8,8,9,5,12541,13600,14792,1.4,56.4,78
Uttarakhand,848 by 2026 pop,7,7,7,8,5,10086,11993,12900,1.9,70,135
Himachal Pradesh,848 by 2026 pop,5,4,5,5,4,6865,7589,7829,1.7,75.9,125
Tripura,848 by 2026 pop,2,2,2,3,2,3674,4081,4198,1.7,82.7,75
Meghalaya,848 by 2026 pop,2,2,2,3,2,2967,3590,3950,2.9,72.9,70
Manipur,848 by 2026 pop,2,1,2,3,2,2856,3225,3380,2.2,72.4,58
Goa,848 by 2026 pop,1,1,1,2,2,1459,1610,1660,1.3,81.8,230
Nagaland,848 by 2026 pop,1,1,1,2,1,1979,2153,2206,1.7,76.1,90
Arunachal Pradesh,848 by 2026 pop,1,1,1,2,2,1384,1612,1721,1.8,57.7,110
Mizoram,848 by 2026 pop,1,1,1,2,1,1097,1268,1356,1.9,89.3,95
Sikkim,848 by 2026 pop,1,1,1,1,1,611,690,720,1.1,75.6,250
Ladakh,848 by 2026 pop,1,1,1,1,1,274,300,320,1.3,63,120
Chandigarh,848 by 2026 pop,1,1,1,2,1,1055,1267,1365,1.4,81.4,200
Puducherry,848 by 2026 pop,1,1,1,2,1,1248,1400,1480,1.5,80.7,180
Andaman & Nicobar,848 by 2026 pop,1,1,1,1,1,381,410,425,1.5,81.8,130
DNH & DD,848 by 2026 pop,1,1,1,1,2,586,750,820,1.8,76,200
Lakshadweep,848 by 2026 pop,1,1,1,1,1,64,70,72,1.4,88,110
