state,fc14,fc15,fiscal_chg_pts,fiscal_chg_cr,seats_now,chg_webster,pop_2026,tfr,female_lit,nsdp_pc,z_tfr,z_lit,z_nsdp,dev_index,loses_both
Andhra Pradesh,4.305,4.047,-0.258,-10887.6,25,-5,53709,1.7,59.7,125,0.4795396534825094,-0.8389490729486422,0.48201732316646867,0.04086930123344529,TRUE
Arunachal Pradesh,1.37,1.757,0.3869999999999998,16331.399999999992,2,-1,1612,1.8,57.7,110,0.2261979497559004,-1.0267985255081145,0.21744649154322868,-0.19438469473632847,FALSE
Assam,3.311,3.128,-0.18299999999999983,-7722.599999999993,14,0,36717,1.9,66.3,66,-0.027143753970707982,-0.2190458795023844,-0.8397857358315924,-0.36199178976822827,FALSE
Bihar,9.665,10.058,0.3930000000000007,16584.600000000028,40,10,132265,3,49.6,31,-2.813902494963404,-1.787588808373977,-2.403755976751995,-2.335082426696459,FALSE
Chhattisgarh,3.08,3.407,0.32699999999999996,13799.399999999998,11,1,31211,1.8,60.2,82,0.2261979497559004,-0.7919867098087742,-0.39053734326910305,-0.31877536777399224,FALSE
Goa,0.378,0.386,0.008000000000000007,337.6000000000003,2,-1,1610,1.3,81.8,230,1.4929064683889441,1.2367873778335252,1.7440209961782958,1.4912382808002551,FALSE
Gujarat,3.084,3.478,0.39400000000000013,16626.800000000007,26,2,74086,1.9,69.7,150,-0.027143753970707982,0.1002981898487189,0.8593598381457453,0.3108380913412521,FALSE
Haryana,1.084,1.093,0.008999999999999897,379.7999999999957,10,2,31299,1.9,65.9,145,-0.027143753970707982,-0.25661577001427804,0.7891953606371498,0.1684786122173879,FALSE
Himachal Pradesh,0.713,0.83,0.11699999999999999,4937.4000000000005,4,-1,7589,1.7,75.9,125,0.4795396534825094,0.6826314927830831,0.48201732316646867,0.5480628231440203,FALSE
Jharkhand,3.139,3.307,0.16800000000000015,7089.600000000007,14,1,40958,2.3,55.4,62,-1.0405105688771428,-1.2428253959515079,-0.9691812343978974,-1.0841723997421828,FALSE
Karnataka,4.713,3.647,-1.0660000000000003,-44985.20000000001,28,-2,68962,1.7,68.1,145,0.4795396534825094,-0.04998137219885969,0.7891953606371498,0.40625121397359987,TRUE
Kerala,2.5,1.925,-0.575,-24265,20,-6,36207,1.8,91.9,148,0.2261979497559004,2.1854271132588607,0.831578832214164,1.0810679650763084,TRUE
Madhya Pradesh,7.548,7.85,0.3019999999999996,12744.399999999983,29,5,89673,2,59.2,62,-0.2804854576973169,-0.8859114360885103,-0.9691812343978974,-0.7118593760612416,FALSE
Maharashtra,5.521,6.317,0.7960000000000003,33591.200000000004,48,1,129308,1.7,75.5,150,0.4795396534825094,0.645061602271188,0.8593598381457453,0.6613203646331476,FALSE
Manipur,0.617,0.716,0.09899999999999998,4177.799999999999,2,-1,3225,2.2,72.4,58,-0.7871688651505349,0.3538949508040067,-1.1072092954965311,-0.5134944032810198,FALSE
Meghalaya,0.642,0.767,0.125,5275,2,-1,3590,2.9,72.9,70,-2.5605607912367954,0.4008573139438747,-0.7180062674476956,-0.9592365815802054,FALSE
Mizoram,0.46,0.5,0.03999999999999998,1687.999999999999,1,0,1268,1.9,89.3,95,-0.027143753970707982,1.9412228249315462,-0.08597195567187517,0.6093690384296543,FALSE
Nagaland,0.498,0.569,0.07099999999999995,2996.199999999998,1,0,2153,1.7,76.1,90,0.4795396534825094,0.7014164380390292,-0.19787238922907394,0.32769456743082154,FALSE
Odisha,4.642,4.528,-0.11400000000000077,-4810.800000000033,21,-4,44677,1.8,64,73,0.2261979497559004,-0.4350727499457772,-0.6311549005245015,-0.2800099002381261,TRUE
Punjab,1.577,1.807,0.22999999999999998,9706,13,-1,31318,1.6,70.7,110,0.7328813572091177,0.194222916128455,0.21744649154322868,0.3815169216269338,FALSE
Rajasthan,5.495,6.026,0.5309999999999997,22408.199999999986,25,7,83642,2,52.1,78,-0.2804854576973169,-1.5527769926746369,-0.4940416035806845,-0.7757680179842129,FALSE
Sikkim,0.367,0.388,0.02100000000000002,886.2000000000008,1,0,690,1.1,75.6,250,1.9995898758421615,0.6544540748991612,1.9165920655205646,1.5235453387539624,FALSE
Tamil Nadu,4.023,4.079,0.05600000000000005,2363.200000000002,39,-10,77546,1.8,73.4,140,0.2261979497559004,0.44781967708374276,0.7165684749064003,0.4635287005820145,FALSE
Telangana,2.437,2.102,-0.33499999999999996,-14136.999999999998,17,-3,36462,1.8,57.9,155,0.2261979497559004,-1.0080135802521677,0.9272234217357835,0.0484692637465054,TRUE
Tripura,0.642,0.708,0.06599999999999995,2785.1999999999975,2,0,4081,1.7,82.7,75,0.4795396534825094,1.3213196314852884,-0.5752149042083524,0.40854812691981507,FALSE
Uttar Pradesh,17.959,17.939,-0.019999999999999574,-843.9999999999819,80,11,242859,2.4,57.2,42,-1.2938522726037516,-1.0737608886479826,-1.7752384948225157,-1.3809505520247498,FALSE
Uttarakhand,1.052,1.118,0.06600000000000006,2785.200000000002,5,0,11993,1.9,70,135,-0.027143753970707982,0.12847560773263947,0.6413000395297878,0.2475439644305731,FALSE
West Bengal,7.324,7.523,0.19899999999999984,8397.799999999992,42,-4,100522,1.6,70.5,85,0.7328813572091177,0.1754379708725075,-0.31617052144043534,0.19738293554706332,FALSE
