state,fc14,fc15,fiscal_chg_pts,pop_2011,pop_1971,share_2011,share_1971,pop_pen_pts,pop_pen_cr,fc15_cf,other_pts,other_cr
Andhra Pradesh,4.305,4.047,-0.258,49577,25499.204679537957,0.042078951612218744,0.05018441809753392,-0.12158199727972763,-5130.760285204506,4.168581997279727,-0.13641800272027238,-5756.839714795495
Arunachal Pradesh,1.37,1.757,0.3869999999999998,1384,468,0.0011746832005024657,9.210604003070202e-4,0.0038043420029316823,160.543232523717,1.7531956579970682,0.3831956579970681,16170.856767476276
Assam,3.311,3.128,-0.18299999999999983,31206,14625,0.026486390140809207,0.02878313750959438,-0.03445121053177762,-1453.8410844410153,3.1624512105317777,-0.1485487894682222,-6268.758915558978
Bihar,9.665,10.058,0.3930000000000007,104099,31989.747919204594,0.08835501913952758,0.06295831201748558,0.38095060683062987,16076.115608252581,9.67704939316937,0.012049393169370815,508.48439174744635
Chhattisgarh,3.08,3.407,0.32699999999999996,25545,7810.62079819093,0.02168156239655743,0.01537190922869247,0.09464479751797439,3994.0104552585194,3.3123552024820255,0.23235520248202557,9805.389544741478
Goa,0.378,0.386,0.008000000000000007,1459,796,0.0012383401658476137,0.0015665899116333079,-0.0049237461867854115,-207.78208908234438,0.39092374618678544,0.012923746186785419,545.3820890823447
Gujarat,3.084,3.478,0.39400000000000013,60440,26697,0.05129902647280999,0.05254177245084726,-0.01864118967055909,-786.6582040975936,3.496641189670559,0.41264118967055924,17413.458204097602
Haryana,1.084,1.093,0.008999999999999897,25351,10036,0.021516903046197983,0.019751628584361657,0.026479116927544902,1117.4187343423948,1.066520883072455,-0.017479116927545005,-737.6187343423992
Himachal Pradesh,0.713,0.83,0.11699999999999999,6865,3460,0.005826734227925887,0.0068095491133809615,-0.014742223281826125,-622.1218224930625,0.8447422232818261,0.1317422232818261,5559.521822493063
Jharkhand,3.139,3.307,0.16800000000000015,32988,10137.252080795408,0.027998879637409924,0.019950900554595283,0.12071968624221961,5094.370759421668,3.18628031375778,0.04728031375778054,1995.2292405783392
Karnataka,4.713,3.647,-1.0660000000000003,61095,29299,0.05185496397015762,0.057662710830332024,-0.0871162029026161,-3676.303762490399,3.734116202902616,-0.9788837970973842,-41308.896237509616
Kerala,2.5,1.925,-0.575,33406,21347,0.028353661124266884,0.042012556336226414,-0.20488342817939295,-8646.080669170382,2.129883428179393,-0.370116571820607,-15618.919330829618
Madhya Pradesh,7.548,7.85,0.3019999999999996,72627,22206.379201809068,0.06164285896162758,0.04370388144655502,0.26908466272608833,11355.372767040928,7.580915337273911,0.03291533727391127,1389.0272329590553
Maharashtra,5.521,6.317,0.7960000000000003,112374,50412,0.09537850431594225,0.09921473696640493,-0.05754348975694018,-2428.3352677428757,6.37454348975694,0.8535434897569405,36019.53526774288
Manipur,0.617,0.716,0.09899999999999998,2856,1074,0.0024240572403432382,0.0021137155340379054,0.0046551255945799916,196.44630009127565,0.7113448744054199,0.09434487440541998,3981.3536999087237
Meghalaya,0.642,0.767,0.125,2967,1012,0.0025182695490540575,0.0019916947117750096,0.007898622559185718,333.32187199763734,0.7591013774408143,0.11710137744081428,4941.678128002362
Mizoram,0.46,0.5,0.03999999999999998,1097,332,9.310892131150324e-4,6.53401822440023e-4,0.004165310860125142,175.776118297281,0.4958346891398749,0.03583468913987484,1512.223881702718
Nagaland,0.498,0.569,0.07099999999999995,1979,516,0.0016796951255739737,0.0010155281336718428,0.009962504878531963,420.4177058740488,0.5590374951214679,0.061037495121467986,2575.782294125949
Odisha,4.642,4.528,-0.11400000000000077,41974,21945,0.0356258328452966,0.04318946684772983,-0.1134545100364984,-4787.7803235402325,4.641454510036498,-5.454899635023713e-4,-23.019676459800394
Punjab,1.577,1.807,0.22999999999999998,27743,13551,0.023547135860939237,0.026669421975556478,-0.04683429171925862,-1976.4071105527137,1.8538342917192585,0.2768342917192586,11682.407110552715
Rajasthan,5.495,6.026,0.5309999999999997,68548,25766,0.05818076880638946,0.05070949203912539,0.11206915150896106,4729.318193678157,5.913930848491039,0.4189308484910386,17678.881806321828
Sikkim,0.367,0.388,0.02100000000000002,611,210,5.185920776784729e-4,4.1329633347109883e-4,0.0015794361631106114,66.6522060832678,0.3864205638368894,0.019420563836889407,819.5477939167331
Tamil Nadu,4.023,4.079,0.05600000000000005,72147,41199,0.06123545438341863,0.08108283639369429,-0.2977107301541349,-12563.392812504491,4.376710730154135,0.35371073015413496,14926.592812504494
Telangana,2.437,2.102,-0.33499999999999996,35004,18003.795320462043,0.029709978865887506,0.035432869497671854,-0.08584335947676522,-3622.5897699194925,2.1878433594767652,-0.24915664052323475,-10514.410230080506
Tripura,0.642,0.708,0.06599999999999995,3674,1556,0.00311834254237432,0.003062329023242999,8.402027869698147e-4,35.45655761012618,0.7071597972130301,0.06515979721303013,2749.7434423898712
Uttar Pradesh,17.959,17.939,-0.019999999999999574,199812,79820.84726867336,0.16959234079392968,0.15709363576523463,0.18748057543042568,7911.680283163963,17.751519424569576,-0.20748057543042525,-8755.680283163945
Uttarakhand,1.052,1.118,0.06600000000000006,10086,4029.1527313266442,0.008560588699615512,0.007929685956439836,0.009463541147635146,399.3614364302032,1.108536458852365,0.05653645885236491,2385.8385635697987
West Bengal,7.324,7.523,0.19899999999999984,91276,44312,0.07747137558458313,0.08720946251795872,-0.14607130400063387,-6164.209028826749,7.669071304000633,0.3450713040006337,14562.009028826742
